Episode,SurvivalMonths,Reward
1592,122.0,7125.5192
1594,122.0,7372.512
1596,122.0,7046.0716
1598,122.0,7278.9324
1600,122.0,7123.7953
1602,122.0,6605.5909
1604,122.0,4292.5127
1606,122.0,6941.4869
1608,122.0,7358.804
1610,122.0,5649.7676
1612,122.0,7205.657
1614,122.0,7054.3985
1616,122.0,7100.8417
1618,122.0,6738.8444
1620,122.0,7242.6025
1622,122.0,6507.4614
1624,122.0,7315.4649
1626,122.0,6667.8687
1628,122.0,7102.8666
1630,122.0,7190.3609
1632,122.0,7301.2075
1634,122.0,7170.151
1636,122.0,5973.3268
1638,122.0,7147.33
1640,122.0,6467.762
1642,122.0,7250.9334
1644,122.0,7405.6726
1646,122.0,7282.5992
1648,122.0,7240.0285
1650,122.0,6763.3909
1652,122.0,6995.6512
1654,122.0,6926.8998
1656,122.0,7294.8521
1658,122.0,7375.2608
1660,122.0,7254.2651
1662,122.0,7253.6975
1664,122.0,5797.6665
1666,122.0,7388.5404
1668,122.0,7167.2494
1670,122.0,7031.4069
1672,122.0,7175.9945
1674,122.0,7155.3454
1676,122.0,7261.254
1678,122.0,7337.3863
1680,122.0,5169.2783
1682,122.0,6563.4511
1684,122.0,7019.5688
1686,122.0,7134.5152
1688,122.0,7128.7587
1690,122.0,7433.0745
1692,122.0,7371.7535
1694,122.0,6813.8573
1696,122.0,7001.2336
1698,122.0,7216.4061
1700,122.0,6939.1318
1702,122.0,6824.0817
1704,122.0,6642.8029
1706,122.0,6605.5505
1708,122.0,6783.5809
1710,122.0,7181.5827
1712,122.0,7055.7294
1714,122.0,7196.5304
1716,122.0,7102.8932
1718,122.0,7218.9416
1720,122.0,6837.8148
1722,122.0,5451.7861
1724,122.0,6568.5095
1726,122.0,7351.6196
1728,122.0,7154.937
1730,122.0,7238.6543
1732,122.0,7173.3161
1734,122.0,7278.0282
1736,122.0,7367.3883
1738,122.0,7219.6967
1740,122.0,7270.5342
1742,122.0,7195.5278
1744,122.0,7238.0936
1746,122.0,7129.7346
1748,122.0,6937.4824
1750,122.0,7125.4803
1752,122.0,7261.1811
1754,122.0,6836.5515
1756,122.0,6438.187
1758,122.0,7187.4439
1760,122.0,7381.148
1762,122.0,5298.7119
1764,122.0,7248.0252
1766,122.0,7308.927
1768,122.0,6101.0257
1770,122.0,7333.2592
1772,122.0,6955.4735
1774,122.0,6954.4218
1776,122.0,6582.7523
1778,122.0,7110.428
1780,122.0,7286.3887
1782,122.0,6232.0323
1784,122.0,4494.1445
1786,122.0,7245.9507
1788,122.0,7163.6101
1790,122.0,6865.0015
1792,122.0,6935.712
1794,122.0,7149.5637
1796,122.0,6880.6044
1798,122.0,7248.0349
1800,122.0,7121.2619
1802,122.0,7338.0261
1804,122.0,7183.5649
1806,122.0,7304.249
1808,122.0,7283.1766
1810,122.0,6423.0648
1812,122.0,7184.2642
1814,122.0,7412.7242
1816,122.0,6889.533
1818,122.0,7102.0703
1820,122.0,7222.1902
1822,122.0,7279.8865
1824,122.0,6996.0355
1826,122.0,6848.3499
1828,122.0,6468.8293
1830,122.0,6922.7177
1832,122.0,7060.7714
1834,122.0,6633.4563
1836,122.0,7072.7995
1838,122.0,5883.74
1840,122.0,7080.5924
1842,122.0,6510.2424
1844,122.0,7389.0903
1846,122.0,7391.6912
1848,122.0,7261.8814
1850,122.0,6668.0296
1852,122.0,6018.3731
1854,122.0,6456.0631
1856,122.0,5782.8617
1858,122.0,7384.2632
1860,122.0,7406.3476
1862,122.0,7346.123
1864,122.0,7422.307
1866,122.0,7332.4372
1868,122.0,6901.5839
1870,122.0,7355.1689
1872,122.0,7349.7776
1874,122.0,7215.5502
1876,122.0,6958.6166
1878,122.0,7116.7154
1880,122.0,6901.7962
1882,122.0,6406.1422
1884,122.0,7546.7131
1886,122.0,7153.104
1888,122.0,7171.1801
1890,122.0,7253.2809
1892,122.0,7122.4909
1894,122.0,7206.2434
1896,122.0,7436.6508
1898,122.0,7186.4768
1900,122.0,6947.6321
1902,122.0,7330.5612
1904,122.0,7036.5953
1906,122.0,6235.4421
1908,122.0,7382.1978
1910,122.0,7056.6286
1912,122.0,7202.4201
1914,122.0,7208.4354
1916,122.0,7403.0064
1918,122.0,6978.78
1920,122.0,6704.6549
1922,122.0,6961.7086
1924,122.0,6707.1274
1926,122.0,6474.8154
1928,122.0,7260.1232
1930,122.0,7286.9851
1932,122.0,6841.2408
1934,122.0,7028.3405
1936,122.0,6844.3678
1938,122.0,7404.5629
1940,122.0,7006.6782
1942,122.0,7255.593
1944,122.0,7259.5021
1946,122.0,-3351.7196
1948,122.0,7040.2998
1950,122.0,6039.9077
1952,122.0,7122.3084
1954,122.0,6703.8543
1956,122.0,7060.1293
1958,122.0,7212.3421
1960,122.0,6851.6249
1962,122.0,7243.4796
1964,122.0,6893.6565
1966,122.0,7339.2598
1968,122.0,7245.0517
1970,122.0,6714.1474
1972,122.0,6708.2925
1974,122.0,7024.1167
1976,122.0,7314.2573
1978,122.0,6179.9609
1980,122.0,6979.5292
1982,122.0,6374.7097
1984,122.0,7000.925
1986,122.0,6806.373
1988,122.0,6802.821
1990,122.0,6986.8433
1992,122.0,5813.5896
1994,122.0,7169.3232
1996,122.0,7180.6875
1998,122.0,7263.1336
2000,122.0,7137.8875
2002,122.0,7312.1749
2004,122.0,6351.3144
2006,122.0,7222.9318
2008,122.0,7227.783
2010,122.0,6585.8078
2012,122.0,6690.2046
2014,122.0,6867.8603
2016,122.0,7282.0761
2018,122.0,6272.1107
2020,122.0,6936.6549
2022,122.0,6912.3841
2024,122.0,7303.9643
