nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient101
2021-12-20 10:45:46.431414: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  3
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient101/PPO_ActionList_gym_cancer:CancerControl-v0_patient101_log_3.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient101/
save checkpoint format : patient10120211220-1045-m1-0.5-m2-12_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  1e-05
============================================================================================
Updates : 146 		 SurvivalMonths : 85.5 		 Average Reward : 4057.58
Updates : 148 		 SurvivalMonths : 47.5 		 Average Reward : -914.53
Updates : 150 		 SurvivalMonths : 45.0 		 Average Reward : 88.45
Updates : 152 		 SurvivalMonths : 45.5 		 Average Reward : 299.77
Updates : 154 		 SurvivalMonths : 48.0 		 Average Reward : -392.19
Updates : 156 		 SurvivalMonths : 53.0 		 Average Reward : 1153.7
Updates : 158 		 SurvivalMonths : 55.5 		 Average Reward : 1351.98
Updates : 160 		 SurvivalMonths : 48.0 		 Average Reward : 987.47
Updates : 162 		 SurvivalMonths : 47.5 		 Average Reward : 76.82
Updates : 164 		 SurvivalMonths : 45.0 		 Average Reward : -217.82
Updates : 166 		 SurvivalMonths : 51.0 		 Average Reward : 1439.52
Updates : 168 		 SurvivalMonths : 60.0 		 Average Reward : 519.35
Updates : 170 		 SurvivalMonths : 52.0 		 Average Reward : 32.73
Updates : 172 		 SurvivalMonths : 55.0 		 Average Reward : 1670.45
Updates : 174 		 SurvivalMonths : 48.5 		 Average Reward : 264.82
Updates : 176 		 SurvivalMonths : 49.0 		 Average Reward : -108.53
Updates : 178 		 SurvivalMonths : 32.5 		 Average Reward : 88.41
Updates : 180 		 SurvivalMonths : 31.5 		 Average Reward : 139.05
Updates : 182 		 SurvivalMonths : 49.0 		 Average Reward : 341.88
Updates : 184 		 SurvivalMonths : 50.5 		 Average Reward : 236.48
Updates : 186 		 SurvivalMonths : 47.5 		 Average Reward : -217.8
Updates : 188 		 SurvivalMonths : 50.0 		 Average Reward : 185.68
Updates : 190 		 SurvivalMonths : 44.5 		 Average Reward : -30.13
Updates : 192 		 SurvivalMonths : 46.0 		 Average Reward : 763.11
Updates : 194 		 SurvivalMonths : 53.0 		 Average Reward : 1032.27
Updates : 196 		 SurvivalMonths : 44.5 		 Average Reward : 86.88
Updates : 198 		 SurvivalMonths : 46.0 		 Average Reward : 198.58
Updates : 200 		 SurvivalMonths : 44.5 		 Average Reward : 344.61
Updates : 202 		 SurvivalMonths : 45.0 		 Average Reward : 293.15
Updates : 204 		 SurvivalMonths : 15.0 		 Average Reward : 105.03
Updates : 206 		 SurvivalMonths : 46.5 		 Average Reward : 124.96
Updates : 208 		 SurvivalMonths : 30.0 		 Average Reward : 230.23
Updates : 210 		 SurvivalMonths : 14.5 		 Average Reward : 92.88
Updates : 212 		 SurvivalMonths : 30.0 		 Average Reward : 27.12
Updates : 214 		 SurvivalMonths : 52.5 		 Average Reward : 640.1
Updates : 216 		 SurvivalMonths : 46.0 		 Average Reward : 399.6
Updates : 218 		 SurvivalMonths : 51.5 		 Average Reward : 710.74
Updates : 220 		 SurvivalMonths : 48.0 		 Average Reward : 580.74
Updates : 222 		 SurvivalMonths : 34.5 		 Average Reward : 631.92
Updates : 224 		 SurvivalMonths : 50.0 		 Average Reward : 593.25
Updates : 226 		 SurvivalMonths : 45.5 		 Average Reward : 135.35
